# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7500.4000 M242 544056 16 349.4000 n166 n0 54 N n166->n155->n17->n110->n3->n242->n252->n240->n252->n257->n252->n242->n240->n251->n238->n261->n0
7653.7000 M229 645592 21 894.7000 n99 n0 45 N n99->n69->n11->n62->n2->n255->n246->n249->n254->n248->n244->n248->n254->n267->n259->n263->n257->n252->n261->n242->n255->n0
7669.7000 M225 529412 22 1023.7000 n90 n0 42 N n90->n10->n82->n2->n254->n248->n244->n248->n249->n255->n265->n259->n263->n267->n259->n263->n259->n257->n252->n261->n242->n255->n0
7734.2000 M207 976697 22 1611.2000 n73 n0 33 N n73->n2->n252->n240->n256->n248->n256->n267->n248->n249->n264->n260->n249->n254->n248->n244->n248->n258->n250->n249->n248->n240->n0
7736.2000 M247 555903 11 440.2000 n62 n0 52 N n62->n2->n254->n248->n244->n248->n258->n250->n249->n244->n242->n0
7736.4000 M244 966809 12 524.4000 n81 n0 51 N n81->n66->n2->n254->n248->n244->n248->n266->n250->n249->n244->n242->n0
7736.7000 M226 819313 18 1065.7000 n105 n0 42 N n105->n10->n82->n2->n252->n254->n248->n254->n244->n254->n248->n244->n248->n258->n250->n249->n244->n242->n0
7877.5000 M248 624175 5 554.5000 n178 n0 50 N n178->n4->n261->n257->n249->n0
7877.7000 M255 677609 7 347.7000 n144 n0 54 N n144->n4->n3->n241->n261->n257->n249->n0
7877.9000 M197 761202 8 2042.9000 n184 n0 25 N n184->n150->n184->n150->n4->n261->n257->n249->n0
7987.3000 M257 707794 10 406.3000 n179 n0 53 N n179->n4->n3->n241->n239->n247->n241->n248->n244->n257->n0
8031.3000 M263 747842 8 261.3000 n56 n0 55 N n56->n8->n46->n1->n260->n244->n248->n267->n0
8065.6000 M261 858391 6 358.6000 n181 n0 54 N n181->n4->n239->n247->n249->n252->n0
8065.8000 M262 711007 6 328.8000 n147 n0 54 N n147->n4->n239->n247->n249->n252->n0
8147.7000 M271 542830 7 145.7000 n152 n0 57 N n152->n4->n255->n266->n239->n252->n247->n0
8230.1000 M264 763073 10 433.1000 n180 n0 52 N n180->n4->n255->n266->n239->n266->n239->n267->n266->n238->n0
8308.8000 M268 573962 17 393.8000 n65 n0 53 N n65->n66->n10->n11->n67->n2->n253->n259->n240->n265->n262->n265->n249->n246->n267->n243->n266->n0
8315.4000 M269 818605 5 372.4000 n175 n0 53 N n175->n4->n254->n263->n239->n0
8365.4000 M278 649468 8 156.4000 n46 n0 57 N n46->n1->n249->n262->n241->n247->n265->n243->n0
8417.3000 M260 619460 13 743.3000 n98 n0 47 N n98->n2->n259->n265->n251->n253->n258->n267->n241->n247->n260->n262->n263->n0
8502.0000 M267 865488 9 621.0000 n66 n0 49 N n66->n2->n253->n265->n251->n253->n258->n266->n245->n0
8529.2000 M282 794881 13 201.2000 n90 n0 56 N n90->n2->n264->n240->n248->n256->n249->n4->n238->n257->n259->n239->n265->n0
8529.3000 M279 540400 13 290.3000 n61 n0 55 N n61->n2->n264->n240->n248->n256->n249->n4->n238->n257->n259->n239->n265->n0
8530.6000 M287 830636 16 62.6000 n66 n0 58 N n66->n2->n242->n264->n240->n248->n256->n249->n4->n238->n260->n1->n253->n258->n239->n265->n0
8668.2000 M293 840270 6 19.2000 n42 n0 59 N n42->n1->n260->n261->n263->n245->n0
8730.2000 M295 926344 7 26.2000 n145 n0 59 N n145->n4->n246->n247->n243->n250->n258->n0
8816.4000 M299 780316 7 1.4000 n46 n0 59 N n46->n7->n1->n238->n245->n247->n261->n0
9002.8000 M297 724579 10 239.8000 n66 n0 56 N n66->n2->n248->n254->n263->n245->n1->n251->n261->n247->n0
9003.0000 M305 936793 9 15.0000 n114 n0 59 N n114->n3->n4->n262->n245->n1->n251->n261->n247->n0
9019.3000 M291 997788 9 430.3000 n176 n0 52 N n176->n4->n3->n241->n245->n1->n251->n261->n240->n0
9019.5000 M211 692694 9 2780.5000 n176 n0 13 N n176->n4->n3->n241->n245->n1->n251->n261->n240->n0
9019.6000 M298 669428 9 229.6000 n176 n0 56 N n176->n4->n3->n241->n245->n1->n251->n261->n240->n0
9060.2000 M304 707088 16 98.2000 n73 n0 58 N n73->n2->n255->n260->n267->n246->n254->n249->n242->n245->n241->n243->n253->n261->n257->n238->n0
9060.4000 M302 899280 16 158.4000 n82 n0 57 N n82->n2->n255->n260->n267->n246->n254->n249->n242->n245->n241->n243->n253->n261->n257->n238->n0
9060.6000 M251 940773 17 1647.6000 n108 n0 32 N n108->n82->n2->n255->n260->n267->n246->n254->n249->n242->n245->n241->n243->n253->n261->n257->n238->n0
9060.7000 M296 798056 17 323.7000 n108 n0 54 N n108->n82->n2->n255->n260->n267->n246->n254->n249->n242->n245->n241->n243->n253->n261->n257->n238->n0
